item,total_responses,mean_score,sd_score,median_score,negative_percent,neutral_percent,positive_percent,interpretation
item_01,34,4.705882352941177,0.4624972900628804,5,0,0,100,Sangat Tinggi
item_02,34,4.676470588235294,0.5348796656113336,5,0,2.941176470588235,97.05882352941177,Sangat Tinggi
item_03,34,4.5588235294117645,0.6125543375075285,5,0,5.88235294117647,94.11764705882352,Sangat Tinggi
item_04,34,4.588235294117647,0.6089059766610498,5,0,5.88235294117647,94.11764705882352,Sangat Tinggi
item_05,34,4.5588235294117645,0.6601733689004337,5,0,8.823529411764707,91.17647058823529,Sangat Tinggi
item_06,34,4.823529411764706,0.3869529949759475,5,0,0,100,Sangat Tinggi
item_07,34,4.617647058823529,0.5512908203729233,5,0,2.941176470588235,97.05882352941177,Sangat Tinggi
item_08,34,4.529411764705882,0.5632854982907604,5,0,2.941176470588235,97.05882352941177,Sangat Tinggi
item_09,34,4.647058823529412,0.6911717297975236,5,2.941176470588235,2.941176470588235,94.11764705882352,Sangat Tinggi
item_10,34,4.617647058823529,0.6037612352855318,5,0,5.88235294117647,94.11764705882352,Sangat Tinggi
item_11,34,4.647058823529412,0.5970814340265321,5,0,5.88235294117647,94.11764705882352,Sangat Tinggi
item_12,34,4.352941176470588,0.8835998319950068,5,2.941176470588235,17.647058823529413,79.41176470588235,Sangat Tinggi
item_13,34,4.470588235294118,0.8251829592405758,5,2.941176470588235,11.76470588235294,85.29411764705883,Sangat Tinggi
item_14,34,4.264705882352941,1.1364171110412673,5,11.76470588235294,8.823529411764707,79.41176470588235,Sangat Tinggi
item_15,34,4.588235294117647,0.656789577429185,5,2.941176470588235,0,97.05882352941177,Sangat Tinggi
item_16,34,4.588235294117647,0.6567895774291852,5,2.941176470588235,0,97.05882352941177,Sangat Tinggi
item_17,34,4.588235294117647,0.7014118687516404,5,2.941176470588235,2.941176470588235,94.11764705882352,Sangat Tinggi
item_18,34,4.676470588235294,0.5348796656113336,5,0,2.941176470588235,97.05882352941177,Sangat Tinggi
item_19,34,4.705882352941177,0.6755205294731985,5,2.941176470588235,2.941176470588235,94.11764705882352,Sangat Tinggi
item_20,34,4.529411764705882,0.7064762801416987,5,2.941176470588235,2.941176470588235,94.11764705882352,Sangat Tinggi
